,City,Latitude,Longitude,Wind Speed (MPH),Temperature (F),Humidity (%),Cloudiness (%),Date (Unix),Country
0,arraial do cabo,-22.97,-42.03,3.36,82.35,62,75,1508698800.0,BR
1,hobart,-42.88,147.33,9.17,57.2,67,75,1508702400.0,AU
2,carnarvon,-24.87,113.63,15.23,66.36,100,20,1508703251.0,AU
3,kandrian,-6.22,149.55,2.71,78.33,92,36,1508703252.0,PG
4,punta arenas,-53.15,-70.92,25.28,59,44,75,1508698800.0,CL
5,mys shmidta,47.75,38.03,8.63,35.4,97,0,1508703252.0,UA
6,mataura,27.5,77.68,2.37,69.87,46,0,1508703252.0,IN
7,chokurdakh,70.63,147.92,10.87,-2.58,74,64,1508703252.0,RU
8,ajdabiya,30.76,20.23,9.42,66.81,63,0,1508703252.0,LY
9,ushuaia,-54.8,-68.3,26.4,59,41,40,1508698800.0,AR
10,caravelas,-17.71,-39.25,19.48,77.52,100,8,1508703252.0,BR
11,hofn,64.25,-15.21,17.13,48.18,95,92,1508703252.0,IS
12,lolua,60.21,24.65,5.82,32,100,0,1508701800.0,FI
13,henties bay,-22.12,14.28,5.28,55.25,100,36,1508703252.0,NA
14,puerto colombia,10.99,-74.95,8.05,89.6,70,75,1508698800.0,CO
15,chokurdakh,70.63,147.92,10.87,-2.58,74,64,1508703252.0,RU
16,vokhtoga,58.81,41.05,3.6,27.3,93,88,1508703252.0,RU
17,lata,40.16,-8.33,4.7,55.4,87,0,1508702400.0,PT
18,zvenigovo,55.97,48.02,8.95,28.4,86,75,1508700600.0,RU
19,thompson,55.74,-97.86,12.75,33.8,100,90,1508702400.0,CA
20,baykit,61.67,96.37,3.04,21.18,86,80,1508703252.0,RU
21,chokurdakh,70.63,147.92,10.87,-2.58,74,64,1508703252.0,RU
22,ecoporanga,-18.37,-40.83,13,87.47,40,0,1508703252.0,BR
23,iguape,-24.71,-47.56,7.18,69.51,100,92,1508703252.0,BR
24,punta arenas,-53.15,-70.92,25.28,59,44,75,1508698800.0,CL
25,caravelas,-17.71,-39.25,19.48,77.52,100,8,1508703252.0,BR
26,geraldton,-28.77,114.6,9.17,66.2,82,90,1508702400.0,AU
27,churachandpur,24.33,93.67,1.36,66.09,97,80,1508703253.0,IN
28,acarau,-2.89,-40.12,20.71,83.87,54,0,1508703253.0,BR
29,sorland,67.67,12.69,11.41,42.8,60,0,1508701800.0,NO
30,barrow,71.29,-156.79,18.34,26.6,92,90,1508702280.0,US
31,olafsvik,64.89,-23.71,22.73,45.57,100,92,1508703253.0,IS
32,freeport,40.66,-73.58,9.17,72.27,49,1,1508702160.0,US
33,zilair,52.23,57.44,2.71,25.82,91,80,1508703253.0,RU
34,tiksi,71.69,128.87,2.93,-13.38,61,12,1508703253.0,RU
35,provideniya,64.38,-173.3,17.36,30.77,100,8,1508703253.0,RU
36,ostrovnoy,68.05,39.51,13.44,33.69,93,88,1508703253.0,RU
37,thompson,55.74,-97.86,12.75,33.8,100,90,1508702400.0,CA
38,qaanaaq,77.48,-69.36,7.63,15.2,100,48,1508703253.0,GL
39,antofagasta,-23.65,-70.4,16.11,60.8,72,20,1508698800.0,CL
40,yerbogachen,61.28,108.01,5.17,27.21,97,88,1508703253.0,RU
41,coihaique,-45.58,-72.07,4.7,53.6,58,75,1508698800.0,CL
42,kapaa,22.08,-159.32,3.15,78.42,88,75,1508698560.0,US
43,moses lake,47.13,-119.28,13.87,59.05,47,1,1508701980.0,US
44,broome,-17.97,122.23,4.7,78.8,88,0,1508702400.0,AU
45,ushuaia,-54.8,-68.3,26.4,59,41,40,1508698800.0,AR
46,belushya guba,69.71,60.05,19.04,34.68,100,80,1508703254.0,RU
47,vaini,-21.2,-175.2,9.17,77,65,20,1508702400.0,TO
48,cape town,-33.93,18.42,16.11,60.8,82,0,1508698800.0,ZA
49,rikitea,-23.12,-134.97,15.79,71.4,100,20,1508703254.0,PF
50,ushuaia,-54.8,-68.3,26.4,59,41,40,1508698800.0,AR
51,nizhneyansk,55.64,51.82,2.82,30.2,80,20,1508700600.0,RU
52,rikitea,-23.12,-134.97,15.79,71.4,100,20,1508703254.0,PF
53,albany,42.65,-73.76,8.05,73.74,38,75,1508702040.0,US
54,hermanus,-34.42,19.23,3.15,49.89,94,0,1508703254.0,ZA
55,shenjiamen,29.96,122.3,21.05,68.07,98,24,1508703254.0,CN
56,belushya guba,69.71,60.05,19.04,34.68,100,80,1508703254.0,RU
57,monterey,36.6,-121.89,10.29,69.48,52,1,1508700900.0,US
58,cape town,-33.93,18.42,16.11,60.8,82,0,1508698800.0,ZA
59,kovur,14.48,79.98,2.93,74.37,80,12,1508703254.0,IN
60,puerto guzman,0.97,-76.59,0.25,59.97,100,92,1508703254.0,CO
61,cidreira,-30.18,-50.21,16.69,60.69,71,0,1508703254.0,BR
62,chokurdakh,70.63,147.92,10.87,-2.58,74,64,1508703252.0,RU
63,calama,-22.47,-68.93,23.04,78.8,4,0,1508698800.0,CL
64,muzhi,65.37,64.67,12.77,29.46,91,76,1508703255.0,RU
65,illoqqortoormiut,38.53,-28.64,8.05,69.8,94,20,1508702400.0,PT
66,srednekolymsk,67.45,153.68,2.59,-0.33,66,64,1508703255.0,RU
67,saint-philippe,-21.36,55.77,4.7,71.73,64,0,1508700600.0,RE
68,bethel,41.37,-73.41,9.17,74.52,35,1,1508702160.0,US
69,guerrero negro,27.98,-114.06,4.27,89,37,0,1508703255.0,MX
70,kurilsk,45.23,147.88,23.06,43.59,100,100,1508703255.0,RU
71,hasaki,35.73,140.83,35.57,70.72,100,75,1508701140.0,JP
72,east london,-33.02,27.91,11.77,69.02,98,0,1508703255.0,ZA
73,kapaa,22.08,-159.32,3.15,78.42,88,75,1508698560.0,US
74,port alfred,-33.59,26.89,6.62,66.36,93,92,1508703255.0,ZA
75,leningradskiy,69.38,178.42,21.61,31.8,100,88,1508703255.0,RU
76,sarangani,5.4,125.46,13.44,84.45,100,8,1508703255.0,PH
77,hurghada,27.26,33.81,4.7,75.2,57,0,1508698800.0,EG
78,arraial do cabo,-22.97,-42.03,3.36,82.35,62,75,1508698800.0,BR
79,kodiak,57.79,-152.41,4.7,35.6,69,1,1508701980.0,US
80,zeya,53.75,127.27,0.69,6.87,82,0,1508703255.0,RU
81,rikitea,-23.12,-134.97,15.79,71.4,100,20,1508703254.0,PF
82,beringovskiy,63.05,179.32,28.66,25.55,100,44,1508703256.0,RU
83,bluff,-46.6,168.33,12.33,48.45,100,92,1508703256.0,NZ
84,albany,42.65,-73.76,8.05,73.74,38,75,1508702040.0,US
85,taolanaro,-25.02,46.97,24.16,75.2,88,20,1508698800.0,MG
86,tarudant,32.77,-97.3,17.22,73.15,27,1,1508702100.0,US
87,garwa,24.18,83.82,3.15,66.99,68,0,1508703256.0,IN
88,tazovskiy,67.47,78.7,8.19,30.14,97,92,1508703256.0,RU
89,airai,60.62,22.58,1.12,32,99,56,1508701800.0,FI
90,mataura,27.5,77.68,2.37,69.87,46,0,1508703252.0,IN
91,pilar,-9.6,-35.96,10.29,80.6,61,40,1508698800.0,BR
92,kapaa,22.08,-159.32,3.15,78.42,88,75,1508698560.0,US
93,bethel,41.37,-73.41,9.17,74.52,35,1,1508702160.0,US
94,cape town,-33.93,18.42,16.11,60.8,82,0,1508698800.0,ZA
95,illoqqortoormiut,38.53,-28.64,8.05,69.8,94,20,1508702400.0,PT
96,castro,-24.79,-50.01,4.16,65.19,88,100,1508703256.0,BR
97,vysokogornyy,50.12,139.15,5.73,20.91,63,0,1508703256.0,RU
98,cherskiy,68.75,161.3,6.06,0.39,64,0,1508703256.0,RU
99,saint anthony,45.02,-93.22,10.29,62.24,27,5,1508702400.0,US
100,hermanus,-34.42,19.23,3.15,49.89,94,0,1508703254.0,ZA
101,tuktoyaktuk,69.45,-133.04,9.17,26.6,100,90,1508702400.0,CA
102,atuona,-9.8,-139.03,11.88,80.45,100,0,1508703257.0,PF
103,rundu,-17.93,19.77,6.93,80.6,47,12,1508698800.0,NA
104,cidreira,-30.18,-50.21,16.69,60.69,71,0,1508703254.0,BR
105,saint george,37.1,-113.58,3.27,68,14,1,1508702160.0,US
106,kruisfontein,-34,24.73,7.4,63.17,96,92,1508703257.0,ZA
107,saint-philippe,-21.36,55.77,4.7,71.73,64,0,1508700600.0,RE
108,albany,42.65,-73.76,8.05,73.74,38,75,1508702040.0,US
109,zhanatas,43.57,69.75,3.38,38.15,92,0,1508703257.0,KZ
110,khatanga,71.97,102.5,1.25,12.72,90,92,1508703257.0,RU
111,ponta delgada,37.73,-25.67,12.75,69.8,88,75,1508702400.0,PT
112,batemans bay,-35.72,150.18,3.15,53.54,100,0,1508703257.0,AU
113,rikitea,-23.12,-134.97,15.79,71.4,100,20,1508703254.0,PF
114,ketchikan,55.34,-131.65,10.29,49.39,87,90,1508702160.0,US
